ID,I_STATE,RR,AA,FFF,NNNNNNNNNN,DD,MM,YYYY,UPSZN_DATE,DATE_UPSZN,TR_DATE,RECEIPT_CREATE_FLAG,C_REQUESTFILE,C_RESPONSEFILE,I_MODE,STATE,STATEDESCRIPTION,MSGID,STATUS,STATUSDESCRIPTION,SUM_TOTAL,SUM_GRANTED,SUM_DENIED,COUNT_TOTAL,COUNT_GRANTED,COUNT_DENIED,REPORT_DATE,COPY_DATE,SERVICE, 
752,70,18,17,000,0002,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RO18170000002012019,RU18170000002012019,finish,1,,0ea2d9a0-f188-4341-b8ff-91248b0f1247,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
759,70,05,13,001,0001,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RO05130010001012019,RU05130010001012019,finish,1,,a1e6ebaa-a678-4f51-905e-f983d4ca29ea,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
767,70,26,16,000,0001,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RO26160000001012019,RU26160000001012019,finish,1,,f51e07c3-b947-4e03-b63e-628e92e9cc05,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
773,70,05,23,000,0008,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RD05230000008012019,RT05230000008012019,finish,1,,257703fd-66cc-44ca-b047-89e74a169a32,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
774,70,16,32,000,0004,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RD16320000004012019,RT16320000004012019,finish,1,,e5ba3a6d-8d81-47e8-9cdd-6c7ff0a0e48b,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
780,70,77,02,001,0001,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RO77020010001012019,RU77020010001012019,finish,1,,d9a23024-5ff6-4f4d-abfe-73c14412d057,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
782,70,35,08,000,0006,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RD35080000006012019,RT35080000006012019,finish,1,,30a75644-617c-4770-a459-e32601e8889c,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
791,70,26,16,000,0003,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RO26160000003012019,RU26160000003012019,finish,1,,e2bbe166-23c4-4916-b8fe-1b3299f74692,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
798,70,61,03,001,0004,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RO61030010004012019,RU61030010004012019,finish,1,,02cf1404-c3c3-4ec2-9565-30e6e4d2bc83,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
802,70,07,59,000,0002,01,01,2019,29.01.2019,29.01.2019,29.01.2019,1,RD07590000002012019,RT07590000002012019,finish,1,,d46d6d9b-0cff-4e93-9233-4298eb55d888,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
