I_REGION,ID,C_NAME,LATITUDE,LONGITUDE
74,7419,ТАЛАЛАЇВСЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,50.83314,33.13399
74,7420,ВАРВИНСЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,50.49085,32.72727
74,7421,ЧЕРНІГІВСЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,51.4509,31.09589
74,7422,СЕМЕНІВСЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,52.17203,32.59275
74,7423,ДЕСНЯНСЬКИЙ Р-Н М.ЧЕРНІГІВ,51.48549,31.30773
74,7424,СОСНИЦЬКИЙ Р-Н ЧЕРНІГІВСЬКА ОБЛ.,51.52357,32.48885
74,7425,М.ПРИЛУКИ ЧЕРНІГІВСЬКА ОБЛ.,50.5841,32.39564
74,7426,НОВОЗАВОДСЬКИЙ Р-Н М.ЧЕРНІГІВ,51.4937,31.29441
74,7427,М.НІЖИН ЧЕРНІГІВСЬКА ОБЛ.,51.04748,31.87977
74,7428,М.НОВГОРОД-СІВЕРСЬКИЙ ЧЕРНІГІВ.ОБЛ,52.00995,33.26602
77,7701,ХОТИНСЬКИЙ Р-Н ЧЕРНІВЕЦЬКА ОБЛ.,48.49527,26.474
77,7702,СОКИРЯНСЬКИЙ Р-Н ЧЕРНІВЕЦЬКА ОБЛ.,48.45154,27.40943
77,7703,М.НОВОДНІСТРОВСЬК ЧЕРНІВЕЦЬКА ОБЛ.,48.58342,27.43844
77,7704,ПУТИЛЬСЬКИЙ Р-Н ЧЕРНІВЕЦЬКА ОБЛ.,47.98712,25.09063
77,7705,ГЛИБОЦЬКИЙ Р-Н ЧЕРНІВЕЦЬКА ОБЛ.,48.08781,25.92841
77,7706,КЕЛЬМЕНЕЦЬКИЙ Р-Н ЧЕРНІВЕЦЬКА ОБЛ.,48.46366,26.83516
77,7707,ЗАСТАВНІВСЬКИЙ Р-Н ЧЕРНІВЕЦЬКА ОБЛ.,48.52205,25.84642
77,7708,НОВОСЕЛИЦЬКИЙ Р-Н ЧЕРНІВЕЦЬКА ОБЛ.,48.22598,26.26972
77,7709,ВИЖНИЦЬКИЙ Р-Н ЧЕРНІВЕЦЬКА ОБЛ.,48.28224,25.89569
77,7713,КІЦМАНСЬКИЙ Р-Н ЧЕРНІВЕЦЬКА ОБЛ.,48.4422,25.76081
77,7715,ГЕРЦАЇВСЬКИЙ Р-Н ЧЕРНІВЕЦЬКА ОБЛ.,48.11138,26.21667
77,7716,СТОРОЖИНЕЦЬКИЙ Р-Н ЧЕРНІВЕЦЬКА ОБЛ.,48.16055,25.72139
77,7724,САДГІРСЬКИЙ Р-Н М.ЧЕРНІВЦІ,48.2818,25.9119
77,7725,ПЕРШОТРАВНЕВИЙ Р-Н М.ЧЕРНІВЦІ,48.08235,25.92904
77,7726,ШЕВЧЕНКІВСЬКИЙ Р-Н М.ЧЕРНІВЦІ,48.29246,25.93555
